order_id,product_id,quantity,unit_price,total_price
O00000001,P000327,1,482.37,482.37
O00000001,P000086,3,360.9,1082.6999999999998
O00000002,P000205,2,13.78,27.56
O00000003,P000075,2,907.96,1815.92
O00000003,P000272,1,14.29,14.29
O00000004,P000490,1,807.88,807.88
O00000004,P000022,3,376.83,1130.49
O00000005,P000139,2,132.99,265.98
O00000006,P000345,3,276.39,829.17
O00000007,P000006,3,455.42,1366.26
O00000008,P000180,3,727.19,2181.57
O00000008,P000113,2,421.82,843.64
O00000009,P000458,1,183.87,183.87
O00000009,P000428,3,933.7,2801.1000000000004
O00000010,P000461,3,917.02,2751.06
O00000010,P000332,1,237.47,237.47
O00000011,P000473,2,398.0,796.0
O00000011,P000142,3,104.23,312.69
O00000012,P000032,2,567.3,1134.6
O00000013,P000036,2,211.85,423.7
O00000014,P000394,2,609.89,1219.78
O00000015,P000038,1,360.74,360.74
O00000016,P000001,1,502.55,502.55
O00000016,P000478,3,111.9,335.70000000000005
O00000017,P000482,2,559.54,1119.08
O00000017,P000395,2,562.44,1124.88
O00000018,P000419,3,291.17,873.51
O00000018,P000400,3,378.0,1134.0
O00000018,P000247,2,994.73,1989.46
O00000018,P000063,2,136.07,272.14
O00000019,P000431,2,239.86,479.72
O00000020,P000098,2,454.36,908.72
O00000021,P000098,1,454.36,454.36
O00000021,P000072,1,418.55,418.55
O00000022,P000158,3,783.31,2349.93
O00000022,P000256,2,275.63,551.26
O00000023,P000109,3,511.55,1534.65
O00000023,P000414,3,327.53,982.5899999999999
O00000024,P000377,1,348.49,348.49
O00000025,P000324,1,481.11,481.11
O00000026,P000419,1,291.17,291.17
O00000026,P000055,2,988.95,1977.9
O00000027,P000348,3,899.14,2697.42
O00000027,P000206,3,214.88,644.64
O00000027,P000167,3,546.13,1638.3899999999999
O00000027,P000062,1,89.45,89.45
O00000027,P000500,2,703.77,1407.54
O00000028,P000062,2,89.45,178.9
O00000029,P000474,1,206.17,206.17
O00000029,P000298,1,749.29,749.29
O00000030,P000004,1,674.47,674.47
O00000030,P000092,3,836.3,2508.8999999999996
O00000031,P000268,2,660.6,1321.2
O00000031,P000231,1,807.38,807.38
O00000032,P000424,2,71.39,142.78
O00000033,P000317,3,368.6,1105.8000000000002
O00000033,P000186,3,588.15,1764.4499999999998
O00000033,P000442,1,369.31,369.31
O00000033,P000390,2,623.54,1247.08
O00000034,P000351,2,677.36,1354.72
O00000034,P000433,2,950.7,1901.4
O00000034,P000496,1,301.67,301.67
O00000035,P000413,2,435.77,871.54
O00000036,P000249,1,109.97,109.97
O00000036,P000264,1,230.48,230.48
O00000036,P000060,3,82.3,246.89999999999998
O00000037,P000057,2,541.29,1082.58
O00000038,P000242,3,893.09,2679.27
