transaction_id,account_id,transaction_date,transaction_type,amount,balance_after,description,merchant_name,merchant_category,location,reference_number,is_fraudulent
T         1,A00000480,2025-06-14 10:24:21.513556,Withdrawal,-1563.18,29287.19,Rule record design campaign necessary anything impact decide.,,,,REF853905,False
T         2,A00000545,2025-05-01 17:37:33.690113,Transfer,-7307.64,30874.48,Military summer measure card minute often agency rise.,,,Mitchellside,REF717653,False
T         3,A00000338,2025-04-12 11:46:24.974234,Fee,-606.13,27329.83,Style check send special six figure event.,,,East Jade,REF126674,False
T         4,A00000738,2024-11-18 01:24:40.282868,Payment,-1958.97,17706.27,Others society trip necessary.,"Rogers, Shah and Morales",Utilities,Maloneshire,REF714381,False
T         5,A00000056,2025-06-29 05:54:32.775718,Payment,-1516.3,14899.96,Stay remember professor movement similar common.,Price-Jones,Retail,Colinborough,REF585944,False
T         6,A00000605,2025-05-22 23:15:08.854190,Withdrawal,-1503.54,48882.32,Bad federal responsibility court cut information.,,,,REF060238,False
T         7,A00000924,2025-07-18 08:48:29.010062,Transfer,3541.25,48747.97,Seem individual tax red.,,,,REF758268,False
T         8,A00000416,2025-01-21 03:41:31.057629,Payment,-980.13,78.36,Speak soon use.,"Blake, Sanchez and Mack",Utilities,Kylemouth,REF336207,False
T         9,A00000008,2025-05-08 03:08:24.729567,Fee,-388.57,33801.68,Decision score strategy us while.,,,East Patrickfurt,REF871882,False
T        10,A00000303,2024-10-18 20:44:04.277534,Withdrawal,-1669.47,23175.77,That bill above may.,,,North Caitlin,REF157892,False
T        11,A00000687,2024-09-23 12:42:21.254848,Fee,-516.11,40719.38,Work not far similar example.,,,Jacobstad,REF108752,False
T        12,A00000355,2025-03-13 17:51:47.166247,Transfer,1893.72,45602.75,Feeling Mr of door get.,,,Richardton,REF177153,False
T        13,A00000216,2025-01-27 12:49:02.283686,Interest,1297.88,6419.92,Make decision Democrat join eye wind Democrat.,,,,REF808660,False
T        14,A00000319,2025-01-21 10:08:47.226568,Fee,-841.7,35465.75,Law eat free hot.,,,Loritown,REF814711,False
T        15,A00000986,2025-03-18 10:50:16.347193,Interest,3254.02,18907.7,Those pull side add.,,,,REF833821,False
T        16,A00000166,2024-09-08 14:30:18.119886,Transfer,8494.62,2988.84,Source space full benefit.,,,Allisonberg,REF066611,False
T        17,A00000997,2024-12-28 20:09:10.121643,Withdrawal,-897.33,40977.36,Use maybe kid beat nice computer head.,,,East Roger,REF557227,False
T        18,A00000656,2025-05-29 05:16:26.618112,Fee,-19.62,16460.14,Fear increase matter commercial hotel concern.,,,Hicksview,REF466372,False
T        19,A00000896,2024-12-20 18:12:30.168066,Deposit,1106.43,22551.74,Skin real them skill job often.,,,Port Jonathon,REF249372,True
T        20,A00000541,2025-02-12 02:26:05.324628,Payment,-1760.16,23287.86,Write about compare experience conference whether.,Vasquez-Martinez,Utilities,Riverahaven,REF581950,False
T        21,A00000167,2025-07-15 01:58:35.688045,Withdrawal,-1578.25,41392.64,Arm capital president role stage.,,,,REF578222,False
T        22,A00000684,2025-01-10 02:07:12.254234,Withdrawal,-1957.87,29609.8,Thing box image.,,,,REF076317,False
T        23,A00000313,2025-07-30 04:24:08.251146,Deposit,3173.14,49728.99,Fly sit spend.,,,Curryburgh,REF634489,False
T        24,A00000137,2025-05-15 14:06:30.612809,Deposit,946.84,22674.49,Themselves easy lose share east car possible particularly.,,,Cooleyfurt,REF493847,False
T        25,A00000656,2025-03-23 21:01:59.576690,Withdrawal,-1108.27,16460.14,Move purpose hour accept never weight too.,,,Samanthachester,REF883637,False
T        26,A00000216,2025-03-22 09:58:59.610115,Transfer,8364.6,6419.92,Those long politics option week.,,,Williamshire,REF053673,False
T        27,A00000746,2025-05-02 23:03:47.489373,Payment,-483.57,33732.51,Cut wonder together audience.,"Haas, Graves and Baker",Gas,Heatherbury,REF011577,False
T        28,A00000287,2025-05-04 17:24:20.609788,Interest,3779.8,20881.08,Occur no full evening ask.,,,North Levi,REF832840,False
T        29,A00000385,2025-05-23 09:43:34.665303,Interest,3117.85,29374.92,Seek several behavior adult.,,,New James,REF242218,False
T        30,A00000591,2025-05-13 13:33:17.555554,Payment,-1086.3,3535.65,Be thank history.,"Garcia, Stewart and Smith",Restaurant,,REF141817,False
T        31,A00000226,2025-02-08 00:35:10.695903,Interest,3219.94,22648.61,Type effort move wrong spring age small gas.,,,West Damonborough,REF276272,False
T        32,A00000744,2024-11-15 15:18:01.391008,Transfer,2513.92,12089.86,Sound benefit training good smile same choose.,,,South Timothy,REF324661,False
T        33,A00000195,2024-12-02 20:24:10.092072,Payment,-1707.65,48052.83,Common save think magazine argue win part three.,"Clark, Poole and Jones",Healthcare,New Ryan,REF944358,False
T        34,A00000555,2024-11-06 19:43:11.203588,Withdrawal,-182.04,34124.7,Add rule soon.,,,Lake Kenneth,REF805649,False
T        35,A00000404,2025-03-26 18:45:37.896853,Deposit,1993.83,1512.57,Party report market room animal young school.,,,Mariachester,REF785545,False
T        36,A00000834,2024-09-10 05:57:53.577074,Transfer,1888.48,41095.77,Whom environmental firm test none.,,,Aprilstad,REF051521,False
T        37,A00000266,2025-01-12 11:49:45.232057,Interest,570.92,16794.26,Not firm product recently single.,,,Berrytown,REF066254,False
T        38,A00000813,2025-07-16 18:40:45.738182,Payment,-915.33,36344.96,Bad serve fund nice watch management piece.,Armstrong-Bauer,Restaurant,Bartontown,REF024080,False
T        39,A00000588,2024-11-21 05:56:02.269091,Deposit,362.57,27433.72,Form no book from.,,,Jessicashire,REF476081,False
T        40,A00000906,2024-10-30 22:29:07.824891,Deposit,4718.55,15569.75,Work tell ever billion.,,,Larsenfort,REF913809,False
T        41,A00000506,2025-04-24 22:52:38.441490,Payment,-709.97,20787.66,Measure per ever everybody.,Martin-Taylor,Gas,,REF814416,False
T        42,A00000701,2025-03-11 14:41:38.566668,Interest,4015.87,21818.22,Soldier white sea goal.,,,,REF207268,False
T        43,A00000913,2025-02-28 11:30:55.342427,Deposit,2295.54,8156.94,Probably compare because.,,,,REF462078,False
T        44,A00000206,2024-09-02 06:22:26.391092,Fee,-500.3,48437.02,Sort husband million.,,,,REF870901,False
T        45,A00000842,2024-11-27 05:56:20.209149,Fee,-436.25,36301.72,Three above west.,,,Lloydburgh,REF839007,False
T        46,A00000433,2025-07-12 16:04:38.829062,Transfer,1130.51,16752.35,Relationship laugh star necessary process seven.,,,Toddmouth,REF220738,False
T        47,A00000219,2025-05-10 01:20:42.971282,Deposit,2973.68,32559.91,Bed perform door poor every development.,,,,REF926729,False
T        48,A00000038,2024-08-13 20:33:57.516913,Transfer,-5697.33,14006.52,Herself just size cover soldier.,,,Port Kimberlyton,REF228061,False
T        49,A00000373,2025-01-05 23:35:09.209274,Interest,3816.29,45605.61,Show remain a ahead give despite.,,,West Danielmouth,REF144870,False
T        50,A00000938,2025-02-04 23:30:10.278831,Fee,-1368.38,45418.68,Official information between should scene medical suddenly.,,,Port Samuel,REF306853,False
T        51,A00000265,2024-10-09 10:37:23.017860,Deposit,1568.17,19131.36,Provide hotel house difficult myself.,,,Shafferchester,REF994857,False
T        52,A00000394,2024-12-06 21:15:40.788467,Fee,-1465.3,14594.66,Commercial compare him under.,,,,REF381347,False
T        53,A00000154,2025-03-09 07:46:16.940005,Transfer,6738.84,15633.96,Medical themselves improve source book.,,,,REF047498,False
T        54,A00000230,2025-05-04 16:38:32.351826,Payment,-1911.6,9992.16,Unit create race ever final.,Perez-Clark,Restaurant,East Staceyfort,REF697985,False
T        55,A00000628,2025-06-19 15:06:22.039991,Deposit,2601.04,12094.91,Line ever two still take method.,,,Jasonborough,REF149196,False
T        56,A00000083,2025-06-21 15:45:23.818605,Interest,1960.02,14906.22,Democratic believe government father continue.,,,Thomasburgh,REF290421,False
T        57,A00000707,2025-07-05 05:15:10.669454,Transfer,-8863.41,31001.97,Line general view quite.,,,,REF814795,False
T        58,A00000448,2025-07-18 01:54:58.349125,Fee,-1834.1,21331.61,Blue finally still discuss pass fact.,,,South Nancy,REF367732,True
T        59,A00000065,2025-03-11 04:16:00.336761,Fee,-177.89,18274.3,Blood ever short.,,,Port Heatherbury,REF229112,False
T        60,A00000258,2025-01-03 11:39:52.625369,Deposit,3319.19,6638.25,Too Democrat figure force.,,,,REF522665,False
T        61,A00000618,2025-05-02 19:46:06.605574,Payment,-1884.43,3015.54,Report contain it light.,Lester Inc,Utilities,West Robertbury,REF692251,False
T        62,A00000479,2024-09-22 20:52:42.043095,Interest,293.8,24500.55,Certainly here style who.,,,Keystad,REF469245,False
T        63,A00000586,2024-09-08 13:14:20.127901,Fee,-1348.17,35106.33,Raise remember instead man arm Mrs carry check.,,,West Nicholastown,REF931246,False
T        64,A00000360,2024-12-29 20:26:22.042826,Transfer,818.59,12348.96,Level right least notice close seat first pay.,,,Rogersburgh,REF580938,False
T        65,A00000600,2024-08-20 03:02:14.125731,Fee,-601.97,21599.56,From why health environmental meeting.,,,,REF726079,False
T        66,A00000649,2024-09-21 09:09:54.377251,Transfer,6583.52,35636.22,As question space rest law no among.,,,,REF368263,False
T        67,A00000296,2025-07-14 07:46:41.799956,Withdrawal,-784.0,20413.41,Create but court base quickly three tree.,,,Stewartborough,REF799299,False
T        68,A00000455,2025-03-20 14:19:36.230971,Transfer,-333.08,35793.33,Above wife life.,,,Port Tami,REF483783,False
T        69,A00000171,2025-05-25 19:17:13.818758,Fee,-1361.0,22925.13,Development great view happy goal realize.,,,,REF578838,False
T        70,A00000514,2024-12-14 22:39:06.536682,Fee,-1288.83,10046.4,Citizen ground see turn experience.,,,,REF639607,False
T        71,A00000031,2025-04-08 19:23:39.208421,Fee,-234.97,21473.73,Clearly away hold out.,,,,REF506805,False
T        72,A00000700,2025-06-08 11:32:49.777121,Transfer,2276.61,40752.29,Series dog show Mr number maybe water.,,,New Gina,REF077331,False
T        73,A00000038,2025-05-28 05:43:53.454826,Deposit,1563.83,14006.52,Card church after put month.,,,,REF225218,False
T        74,A00000262,2024-09-09 03:28:39.377965,Payment,-77.82,883.59,Bit fight show write.,"Miller, Daniels and Bowen",Grocery,,REF914474,False
T        75,A00000556,2025-01-19 00:34:19.791578,Interest,1800.26,22613.87,Event heart suggest thought pretty building.,,,Thomaston,REF069720,False
T        76,A00000744,2025-07-03 16:54:16.420991,Interest,2293.27,12089.86,Research people Mr decide cover might.,,,Perezchester,REF664687,False
T        77,A00000234,2025-03-17 01:12:32.953222,Deposit,3265.17,29570.33,Shake sister structure cause body us or administration.,,,Bookermouth,REF038580,False
T        78,A00000567,2025-04-14 01:20:52.833850,Payment,-877.72,28472.79,Now positive film card meeting enough.,Patrick-Hernandez,Grocery,Garrisonville,REF125630,False
T        79,A00000133,2025-07-04 05:23:17.706894,Interest,2894.94,1105.68,Check use threat article popular beat.,,,,REF276712,False
T        80,A00000019,2025-02-04 11:49:56.173800,Withdrawal,-647.78,30590.58,Executive girl wait cup discuss health.,,,Lisamouth,REF598611,False
T        81,A00000397,2025-06-21 03:44:00.867858,Transfer,1539.63,42693.02,Important response their process.,,,Brownport,REF639046,False
T        82,A00000869,2024-08-23 14:18:35.874118,Fee,-563.41,45845.55,Role stage million officer.,,,West Sarah,REF144960,False
T        83,A00000408,2025-02-21 17:34:05.233471,Fee,-1327.35,49585.93,Police election too community life certainly.,,,Christinabury,REF463602,False
T        84,A00000290,2025-03-01 16:35:57.935300,Fee,-1389.46,40576.74,Perform culture should.,,,Ryanfurt,REF234046,False
T        85,A00000083,2024-08-31 09:25:01.616687,Withdrawal,-479.53,14906.22,Quality focus laugh create commercial.,,,South Aaronland,REF304921,False
T        86,A00000617,2025-05-28 19:17:26.853382,Interest,1029.16,8609.59,Deep left bad similar.,,,Port Tinamouth,REF291274,False
T        87,A00000150,2024-12-28 18:47:27.088354,Payment,-290.68,36967.84,Despite change defense.,Park-Graham,Restaurant,Parkerhaven,REF873211,False
T        88,A00000987,2024-12-15 21:00:43.608529,Withdrawal,-766.2,-464.3,Describe work impact smile.,,,Kevinfort,REF561416,False
T        89,A00000531,2025-08-02 16:05:20.780985,Fee,-951.09,26441.16,But determine can really.,,,,REF568708,False
T        90,A00000917,2025-06-10 23:59:00.296318,Payment,-327.59,22530.25,During common require during.,Howell-Leonard,Healthcare,West David,REF992067,False
T        91,A00000383,2025-05-23 22:26:40.218776,Transfer,5062.53,45254.49,Field force choose such check after especially.,,,,REF970883,False
T        92,A00000441,2024-11-29 06:53:53.589866,Transfer,-4148.0,14851.18,Fly light goal.,,,North Craigside,REF715367,False
T        93,A00000527,2024-09-13 14:43:26.414037,Withdrawal,-1968.02,9487.74,Outside benefit bed deep add group bad wonder.,,,,REF871183,False
T        94,A00000646,2025-07-14 22:28:23.183969,Transfer,4079.02,3553.34,Worry war their source wear thought use figure.,,,Michaeltown,REF481011,False
T        95,A00000516,2025-04-12 00:14:16.060825,Transfer,-5561.3,31697.87,Couple fill feel space character them son.,,,Lake Jason,REF192519,False
T        96,A00000540,2024-09-17 10:35:02.013680,Fee,-669.21,9900.01,Subject would wait heart expect.,,,,REF821288,False
T        97,A00000462,2025-01-29 04:29:02.793796,Transfer,7998.8,14505.98,Choose assume sound knowledge during moment six season.,,,West Ryan,REF482117,False
T        98,A00000955,2025-01-06 02:51:45.548456,Deposit,4373.76,40225.35,Explain exist main government catch win born give.,,,East Daniel,REF618701,False
T        99,A00000388,2024-11-30 06:51:42.039067,Interest,117.74,46411.21,Computer any international produce writer three address.,,,,REF963439,False
T       100,A00000705,2025-01-15 16:13:22.102055,Interest,1991.42,25212.39,Pm player begin city so theory why.,,,Lopezton,REF740236,False
T       101,A00000449,2025-07-06 05:39:08.461289,Interest,3971.14,11759.73,Response whole behavior future.,,,East Davidborough,REF179457,False
T       102,A00000995,2024-10-25 11:23:27.620942,Interest,954.46,33811.55,Exist receive recently likely.,,,New Toddport,REF395160,False
T       103,A00000755,2025-04-06 10:11:00.804848,Fee,-22.06,6394.95,Drive cup expect front same.,,,East Nathanfurt,REF978908,False
T       104,A00000075,2025-04-17 08:27:37.204350,Fee,-869.45,41525.37,Team idea too home western leader bar ok.,,,Johnnychester,REF935231,False
T       105,A00000468,2025-07-28 21:49:58.839193,Transfer,9562.5,19963.46,Tonight thing smile team opportunity four son.,,,South Davidfort,REF438621,False
T       106,A00000857,2024-11-19 05:08:39.513462,Payment,-679.0,23529.79,Security grow deep hit simple challenge old vote.,Mcdonald Inc,Restaurant,Port Jeanettebury,REF613059,False
T       107,A00000227,2025-07-13 04:30:45.472050,Interest,1933.52,21925.69,Natural seat wife partner ready remember.,,,,REF488900,False
T       108,A00000999,2024-10-12 00:12:21.111543,Interest,2763.92,31126.81,Couple course manager two.,,,,REF032527,False
T       109,A00000634,2025-05-09 09:08:12.420156,Withdrawal,-1593.58,30878.29,Including into poor machine case quality debate board.,,,,REF655035,False
T       110,A00000216,2024-08-14 03:23:05.601587,Deposit,4527.48,6419.92,Central law high large start.,,,,REF107237,False
T       111,A00000059,2024-08-15 08:09:48.261222,Withdrawal,-986.71,47974.38,Last hope garden whose feeling environment budget.,,,,REF120876,False
T       112,A00000563,2025-06-21 12:32:34.984668,Withdrawal,-1807.93,6205.58,Public source low.,,,South Mariahtown,REF693161,False
T       113,A00000577,2025-02-10 20:24:06.864760,Interest,3688.49,38503.98,Beautiful major step front lose school white color.,,,Kathyburgh,REF632635,False
T       114,A00000775,2024-12-14 16:59:31.118809,Deposit,880.42,27859.84,Family top should.,,,Waltonborough,REF638883,False
T       115,A00000854,2025-04-17 15:41:33.505913,Interest,2848.7,4575.95,Any relate involve six business avoid race.,,,,REF753114,False
T       116,A00000507,2025-01-15 00:00:27.231744,Interest,2361.04,4226.71,Entire decade four factor grow finally.,,,,REF590231,False
T       117,A00000083,2024-08-16 23:31:17.910103,Withdrawal,-1202.7,14906.22,Her upon many accept.,,,Barrystad,REF903000,False
T       118,A00000133,2025-01-07 12:52:18.486876,Fee,-313.77,1105.68,Than weight culture poor minute cost.,,,Alantown,REF590509,False
T       119,A00000455,2024-08-16 15:22:11.015389,Deposit,3723.51,35793.33,Either boy side safe.,,,Leeshire,REF318241,False
T       120,A00000274,2025-05-24 20:52:00.343866,Interest,45.15,26234.57,Church choice decade method yard space staff interest.,,,Heatherborough,REF322016,False
T       121,A00000947,2024-12-07 11:46:36.176630,Interest,4685.14,48117.79,International car finally sea fill learn Democrat.,,,,REF168595,False
T       122,A00000081,2024-11-18 14:21:03.942260,Deposit,4910.02,41537.76,Out act energy.,,,Angelaberg,REF720447,False
T       123,A00000202,2025-04-26 15:53:15.923825,Payment,-1161.74,33480.79,Else hear almost research.,"Jordan, Turner and Savage",Utilities,South Bradleystad,REF996397,False
T       124,A00000861,2025-07-19 11:05:52.291818,Withdrawal,-1547.43,40782.73,Without off early gun hard bring boy hair.,,,Flemingbury,REF668106,False
T       125,A00000562,2024-10-01 16:24:38.589043,Deposit,3441.66,35900.33,Marriage ever allow myself fill training.,,,,REF549237,False
T       126,A00000256,2025-03-21 18:44:49.568401,Fee,-399.42,28390.59,Get sure evening shake.,,,Smithmouth,REF062948,False
T       127,A00000467,2025-01-13 00:07:54.671926,Interest,3836.75,21698.87,Anyone manage according yard million spend form.,,,,REF867848,False
T       128,A00000415,2025-05-26 20:28:27.733321,Deposit,1502.89,27035.31,Mention memory car dinner.,,,,REF445292,False
T       129,A00000690,2025-04-23 17:23:33.522583,Payment,-157.71,9469.73,Assume water term maintain daughter.,"Gomez, Parker and Lopez",Restaurant,,REF726533,False
